"alcohol","volatile.acidity","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","bad"
10.4,0.24,0.063,18,136,0
10.4,0.32,0.043,22,141,0
9.8,0.31,0.024,20,166,0
9.6,0.29,0.037,58,205,1
10.2,0.23,0.053,71,194,0
11,0.29,0.026,27,107,0
9.9,0.2,0.054,49,165,0
12.4,0.36,0.038,37,125,0
12.5,0.39,0.035,22,93,0
10.4,0.48,0.034,5,57,1
11.4,0.16,0.033,59,148,1
8.7,0.16,0.05,25,135,0
9.1,0.19,0.063,63,133,1
11.1,0.34,0.038,23,89,0
11.5,0.25,0.034,42,150,0
9.4,0.36,0.05,29,140,1
10.4,0.17,0.034,33,125,0
9.1,0.26,0.049,41.5,195,0
9,0.32,0.034,58,185,0
10.9,0.18,0.039,29,113,0
10.5,0.27,0.046,27,154,0
12.3,0.32,0.037,12,76,0
9.2,0.55,0.073,21,165,0
13.6,0.3,0.029,25,93,0
9.5,0.29,0.045,45,187,1
12.7,0.22,0.033,48,153,0
10.7,0.27,0.042,24,183,1
11.6,0.22,0.042,38,102,0
11.1,0.4,0.044,31,122,0
11.7,0.3,0.028,22,97,0
10.6,0.26,0.02,7,57,1
11.5,0.3,0.032,32,148,0
9.5,0.25,0.048,62,210,1
10.6,0.295,0.035,40,102,0
9.2,0.23,0.149,70,109,0
11.2,0.19,0.041,82,187,0
10.6,0.21,0.044,43,160,0
11,0.35,0.035,8,97,0
9.3,0.18,0.064,26,103,1
11.8,0.3,0.029,37,100,0
10.5,0.27,0.034,9,45,0
12.3,0.43,0.043,40,176,0
9.7,0.29,0.046,26,113,0
10.2,0.21,0.041,7,113,1
9.9,0.21,0.049,31,150,0
10.6,0.23,0.044,42,179,0
12.7,0.35,0.066,29,89,0
11,0.2,0.037,21,74,1
10.2,0.2,0.039,25,78,0
9.1,0.19,0.053,48.5,229,0
10.2,0.17,0.036,88,223,0
9.6,0.25,0.049,38,158,1
11.1,0.33,0.041,42,168,0
11.6,0.24,0.041,14,73,0
9,0.24,0.053,55,136,1
10.2,0.18,0.041,53,161,0
9,0.16,0.037,37,171,1
11.9,0.22,0.028,36,92,0
10.1333333333333,0.16,0.034,31,114,0
10.6,0.12,0.049,33,152,0
9.5,0.345,0.043,15,134,1
9.9,0.11,0.044,45,104,0
10,0.42,0.041,62,150,0
11.3,0.18,0.044,12,143,0
9.1,0.21,0.045,47,182,1
10.8,0.445,0.04,8,84,1
10.8,0.475,0.03,9,131,1
9.2,0.55,0.108,16,151,1
9.8,0.13,0.047,54,134,0
9.4,0.28,0.044,60,196,1
9.7,0.18,0.045,44,174,0
11.2,0.39,0.037,45,138,0
11.1,0.2,0.041,42,148,0
12.2,0.2,0.042,44,99,0
8.9,0.2,0.056,53,212.5,0
8.8,0.34,0.047,44,181,1
10.7,0.49,0.036,32,116,0
10.5,0.27,0.057,131,313,1
9.5,0.185,0.048,36,110,0
9.4,0.54,0.049,8,178,1
10.8,0.23,0.031,13,96,1
10.1,0.21,0.043,47,197,0
9.2,0.25,0.045,54,180,1
11.3,0.17,0.03,33,78,0
11.2,0.16,0.029,28,98,0
11.5,0.27,0.041,26,114,0
9.7,0.28,0.058,31,153,0
9.4,0.12,0.054,64,162,1
9.7,0.13,0.051,31,122,0
12.5,0.31,0.033,12,74,0
9.4,0.41,0.043,28,152,1
12.1,0.44,0.036,43,119,0
8.8,0.23,0.039,37,130,0
9.4,0.27,0.039,74,227,1
9.2,0.32,0.05,43,163,1
10.4,0.38,0.033,25,137,0
9.3,0.33,0.048,42,173,0
10.6,0.36,0.049,14,85,1
11.4666666666667,0.27,0.037,36,129,0
9.8,0.3,0.053,34,149,1
8.6,0.24,0.057,45,149,1
10.8,0.16,0.046,31,114,0
11.3,0.15,0.035,31,93,0
10.6,0.24,0.035,53,134,0
8.9,0.27,0.036,44,161,0
12.9,0.3,0.025,29,95,0
13,0.3,0.038,18,96,0
12.5,0.34,0.076,19,92,0
10.5,0.22,0.037,29,115,0
11.1,0.32,0.037,25,95,0
10.8,0.29,0.034,26,127,0
10.6,0.18,0.041,67,158,0
9.4,0.23,0.048,73,223,0
9.5,0.22,0.064,36,191,0
9.2,0.34,0.069,44,150,1
10.7,0.34,0.035,32,90,0
12,0.18,0.04,41,92,0
9.9,0.33,0.042,22,143,1
11.1,0.25,0.03,35,105,0
9.5,0.25,0.053,41,211,0
9.3,0.36,0.185,51.5,151,1
10.6,0.33,0.034,26,109,0
11.9,0.17,0.017,21,84,0
10.5,0.17,0.032,39,149,1
9.7,0.33,0.056,14,171,1
10.5,0.22,0.04,24,125,0
9.9,0.25,0.062,20,115,0
10.5,0.13,0.056,31,122,0
12.7,0.32,0.022,31,97,0
9.9,0.18,0.041,20,71,0
11.1,0.2,0.034,21,107,0
9.1,0.43,0.054,5,110,1
9.4,0.46,0.046,50,184,1
12.2,0.36,0.031,24,104,0
9.4,0.34,0.042,17,133,1
11.9,0.27,0.04,45,121,1
10.5,0.29,0.044,12,87,0
10.9,0.26,0.038,25,84,0
12,0.31,0.031,20,151,0
9,0.25,0.067,53,178,0
11.4,0.25,0.047,20,77,1
9.8,0.37,0.032,34,214,0
10.1,0.25,0.046,32,134,0
13.7,0.31,0.024,28,94,0
9.3,0.26,0.036,28,100,0
11.4,0.15,0.022,38,100,0
9.8,0.27,0.053,55,173,1
11,0.28,0.051,40,143,0
9.9,0.29,0.142,8,111,1
12.9,0.24,0.044,37,113,0
9.1,0.53,0.029,29,86,1
12.2,0.15,0.042,23,87,0
9.2,0.25,0.044,51,172,1
9.9,0.33,0.04,24,144,1
10.4,0.27,0.043,49,228,0
12.7,0.31,0.042,19,120,0
12.5,0.27,0.038,26,89,0
9.5,0.3,0.046,57,206,0
9.4,0.26,0.044,55,152,1
9.3,0.31,0.04,46,169,0
11.1,0.13,0.08,34,172,0
9,0.3,0.046,35,192,1
10.5,0.15,0.05,24,92,1
12.6,0.3,0.036,19,113,0
10.8,0.32,0.034,37,136,0
10.5,0.47,0.035,17,151,1
11.6333333333333,0.16,0.026,31,68,0
9,0.25,0.055,55,205,0
9.8,0.21,0.041,27,99,0
10.15,0.17,0.036,30,111,0
10.8,0.22,0.029,41,131,0
10.6,0.17,0.038,29,132,0
9.9,0.14,0.042,27,123,0
10,0.23,0.052,19,86,1
8.8,0.34,0.06,46,235,0
12.5,0.41,0.023,28,110,0
9.2,0.33,0.045,31,147,1
10.4666666666667,0.335,0.036,69,168,1
11.7333333333333,0.24,0.036,42,118,0
10.2,0.28,0.057,35,208,1
11.6,0.2,0.053,41,174,1
9.8,0.19,0.039,8,143,1
11,0.27,0.053,36,175,0
